title,url
The Invisible Life of Addie LaRue,https://www.goodreads.com/book/show/50623864-the-invisible-life-of-addie-larue
"The House in the Cerulean Sea (Cerulean Chronicles, #1)",https://www.goodreads.com/book/show/45047384-the-house-in-the-cerulean-sea
Project Hail Mary,https://www.goodreads.com/book/show/54493401-project-hail-mary
The Midnight Library,https://www.goodreads.com/book/show/52578297-the-midnight-library
I'm Glad My Mom Died,https://www.goodreads.com/book/show/59364173-i-m-glad-my-mom-died
Piranesi,https://www.goodreads.com/book/show/50202953-piranesi
"Fourth Wing (The Empyrean, #1)",https://www.goodreads.com/book/show/61431922-fourth-wing
The Vanishing Half,https://www.goodreads.com/book/show/51791252-the-vanishing-half
"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",https://www.goodreads.com/book/show/51901147-the-ballad-of-songbirds-and-snakes
"House of Earth and Blood (Crescent City, #1)",https://www.goodreads.com/book/show/44778083-house-of-earth-and-blood
My Dark Vanessa,https://www.goodreads.com/book/show/44890081-my-dark-vanessa
Lessons in Chemistry,https://www.goodreads.com/book/show/58065033-lessons-in-chemistry
Beach Read,https://www.goodreads.com/book/show/52867387-beach-read
The Love Hypothesis,https://www.goodreads.com/book/show/56732449-the-love-hypothesis
"A Court of Silver Flames (A Court of Thorns and Roses, #4)",https://www.goodreads.com/book/show/53138095-a-court-of-silver-flames
Malibu Rising,https://www.goodreads.com/book/show/55404546-malibu-rising
"Tomorrow, and Tomorrow, and Tomorrow",https://www.goodreads.com/book/show/58784475-tomorrow-and-tomorrow-and-tomorrow
Babel,https://www.goodreads.com/book/show/57945316-babel
"The Inheritance Games (The Inheritance Games, #1)",https://www.goodreads.com/book/show/52439531-the-inheritance-games
The Four Winds,https://www.goodreads.com/book/show/53138081-the-four-winds
American Dirt,https://www.goodreads.com/book/show/45046527-american-dirt
Mexican Gothic,https://www.goodreads.com/book/show/53152636-mexican-gothic
Book Lovers,https://www.goodreads.com/book/show/58690308-book-lovers
The Guest List,https://www.goodreads.com/book/show/52656911-the-guest-list
Under the Whispering Door,https://www.goodreads.com/book/show/53205888-under-the-whispering-door
"Heartstopper: Volume Three (Heartstopper, #3)",https://www.goodreads.com/book/show/43449920-heartstopper
Hamnet,https://www.goodreads.com/book/show/43890641-hamnet
"The Thursday Murder Club (Thursday Murder Club, #1)",https://www.goodreads.com/book/show/46000520-the-thursday-murder-club
"A Deadly Education (The Scholomance, #1)",https://www.goodreads.com/book/show/50548197-a-deadly-education
"House of Sky and Breath (Crescent City, #2)",https://www.goodreads.com/book/show/40132775-house-of-sky-and-breath
Crying in H Mart,https://www.goodreads.com/book/show/54814676-crying-in-h-mart
Sea of Tranquility,https://www.goodreads.com/book/show/58446227-sea-of-tranquility
Caste: The Origins of Our Discontents,https://www.goodreads.com/book/show/51152447-caste
Klara and the Sun,https://www.goodreads.com/book/show/54120408-klara-and-the-sun
Carrie Soto Is Back,https://www.goodreads.com/book/show/60435878-carrie-soto-is-back
Remarkably Bright Creatures,https://www.goodreads.com/book/show/58733693-remarkably-bright-creatures
Loveless,https://www.goodreads.com/book/show/42115981-loveless
"One of Us Is Next (One of Us Is Lying, #2)",https://www.goodreads.com/book/show/44654627-one-of-us-is-next
"Network Effect (The Murderbot Diaries, #5)",https://www.goodreads.com/book/show/52381770-network-effect
"From Blood and Ash (Blood and Ash, #1)",https://www.goodreads.com/book/show/52831200-from-blood-and-ash
People We Meet on Vacation,https://www.goodreads.com/book/show/54985743-people-we-meet-on-vacation
"Heartstopper: Volume Four (Heartstopper, #4)",https://www.goodreads.com/book/show/56060300-heartstopper
The Glass Hotel,https://www.goodreads.com/book/show/45754981-the-glass-hotel
"Chain of Gold (The Last Hours, #1)",https://www.goodreads.com/book/show/43175835-chain-of-gold
Shuggie Bain,https://www.goodreads.com/book/show/52741293-shuggie-bain
Bell Hammers,https://www.goodreads.com/book/show/48731251-bell-hammers
"Legendborn (The Legendborn Cycle, #1)",https://www.goodreads.com/book/show/50892338-legendborn
Transcendent Kingdom,https://www.goodreads.com/book/show/48570454-transcendent-kingdom
"Divine Rivals (Letters of Enchantment, #1)",https://www.goodreads.com/book/show/60784546-divine-rivals
Untamed,https://www.goodreads.com/book/show/52129515-untamed
"The Burning God (The Poppy War, #3)",https://www.goodreads.com/book/show/45857086-the-burning-god
"The Maid (Molly the Maid, #1)",https://www.goodreads.com/book/show/55196813-the-maid
Hood Feminism: Notes from the Women That a Movement Forgot,https://www.goodreads.com/book/show/36687229-hood-feminism
Writers & Lovers,https://www.goodreads.com/book/show/52715989-writers-lovers
A Promised Land,https://www.goodreads.com/book/show/55359022-a-promised-land
The Rose Code,https://www.goodreads.com/book/show/53914938-the-rose-code
"Cemetery Boys (Cemetery Boys, #1)",https://www.goodreads.com/book/show/52339313-cemetery-boys
"These Violent Delights (These Violent Delights, #1)",https://www.goodreads.com/book/show/50892212-these-violent-delights
"Rule of Wolves (King of Scars, #2)",https://www.goodreads.com/book/show/36307674-rule-of-wolves
Cloud Cuckoo Land,https://www.goodreads.com/book/show/56783258-cloud-cuckoo-land
"Rhythm of War (The Stormlight Archive, #4)",https://www.goodreads.com/book/show/49021976-rhythm-of-war
Firekeeper’s Daughter,https://www.goodreads.com/book/show/52346471-firekeeper-s-daughter
