title,url
The Catcher in the Rye,https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye
Fahrenheit 451,https://www.goodreads.com/book/show/13079982-fahrenheit-451
Lord of the Flies,https://www.goodreads.com/book/show/7624.Lord_of_the_Flies
Charlotte’s Web,https://www.goodreads.com/book/show/24178.Charlotte_s_Web
Lolita,https://www.goodreads.com/book/show/7604.Lolita
The Old Man and the Sea,https://www.goodreads.com/book/show/2165.The_Old_Man_and_the_Sea
East of Eden,https://www.goodreads.com/book/show/4406.East_of_Eden
"Night (The Night Trilogy, #1)",https://www.goodreads.com/book/show/1617.Night
"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia
On the Road,https://www.goodreads.com/book/show/70401.On_the_Road
Flowers for Algernon,https://www.goodreads.com/book/show/18373.Flowers_for_Algernon
The Martian Chronicles,https://www.goodreads.com/book/show/76778.The_Martian_Chronicles
How the Grinch Stole Christmas!,https://www.goodreads.com/book/show/113946.How_the_Grinch_Stole_Christmas_
The Crucible: A Play in Four Acts,https://www.goodreads.com/book/show/17250.The_Crucible
Invisible Man,https://www.goodreads.com/book/show/16981.Invisible_Man
"The Cat in the Hat (The Cat in the Hat, #1)",https://www.goodreads.com/book/show/233093.The_Cat_in_the_Hat
Breakfast at Tiffany’s and Three Stories,https://www.goodreads.com/book/show/251688.Breakfast_at_Tiffany_s_and_Three_Stories
"Things Fall Apart (The African Trilogy, #1)",https://www.goodreads.com/book/show/37781.Things_Fall_Apart
"The Once and Future King (The Once and Future King, #1-4)",https://www.goodreads.com/book/show/43545.The_Once_and_Future_King
Waiting for Godot,https://www.goodreads.com/book/show/17716.Waiting_for_Godot
The Haunting of Hill House,https://www.goodreads.com/book/show/89717.The_Haunting_of_Hill_House
"Foundation (Foundation, #1)",https://www.goodreads.com/book/show/29579.Foundation
"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",https://www.goodreads.com/book/show/140225.The_Voyage_of_the_Dawn_Treader
"The Magician’s Nephew (Chronicles of Narnia, #6)",https://www.goodreads.com/book/show/65605.The_Magician_s_Nephew
A Separate Peace,https://www.goodreads.com/book/show/5148.A_Separate_Peace
"The Horse and His Boy (Chronicles of Narnia, #5)",https://www.goodreads.com/book/show/84119.The_Horse_and_His_Boy
"I, Robot (Robot, #0.1)",https://www.goodreads.com/book/show/41804.I_Robot
The Witch of Blackbird Pond,https://www.goodreads.com/book/show/703292.The_Witch_of_Blackbird_Pond
,https://www.goodreads.com/book/show/130440.Doctor_Zhivago
,https://www.goodreads.com/book/show/7779.Horton_Hears_a_Who_
,https://www.goodreads.com/book/show/29641.The_End_of_the_Affair
,https://www.goodreads.com/book/show/121749.Prince_Caspian
,https://www.goodreads.com/book/show/2247142.The_Talented_Mr_Ripley
,https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings
,https://www.goodreads.com/book/show/662.Atlas_Shrugged
,https://www.goodreads.com/book/show/5113.Franny_and_Zooey
,https://www.goodreads.com/book/show/65641.The_Silver_Chair
,https://www.goodreads.com/book/show/42697.Exodus
,https://www.goodreads.com/book/show/4009.Nine_Stories
,https://www.goodreads.com/book/show/11991.The_Fall
,https://www.goodreads.com/book/show/6295.Howl_and_Other_Poems
,https://www.goodreads.com/book/show/98573.Harold_and_the_Purple_Crayon
,https://www.goodreads.com/book/show/348573.The_Borrowers
,https://www.goodreads.com/book/show/12658.Hawaii
,https://www.goodreads.com/book/show/3698.The_Quiet_American
,https://www.goodreads.com/book/show/35743.The_Tin_Drum
,https://www.goodreads.com/book/show/72159.Cat_on_a_Hot_Tin_Roof
,https://www.goodreads.com/book/show/4982.The_Sirens_of_Titan
,https://www.goodreads.com/book/show/16298.A_Murder_Is_Announced
,https://www.goodreads.com/book/show/17214.Starship_Troopers
,https://www.goodreads.com/book/show/48464.A_Good_Man_Is_Hard_to_Find_and_Other_Stories
,https://www.goodreads.com/book/show/530965.The_Day_of_the_Triffids
,https://www.goodreads.com/book/show/18869970-my-cousin-rachel
,https://www.goodreads.com/book/show/84369.The_Last_Battle
,https://www.goodreads.com/book/show/38180.On_the_Beach
,https://www.goodreads.com/book/show/17143.Go_Tell_It_on_the_Mountain
,https://www.goodreads.com/book/show/414999.Childhood_s_End
,https://www.goodreads.com/book/show/160629.A_Bear_Called_Paddington
,https://www.goodreads.com/book/show/5517.A_Raisin_in_the_Sun
,https://www.goodreads.com/book/show/3758.Casino_Royale
,https://www.goodreads.com/book/show/61215351-the-fellowship-of-the-ring
,https://www.goodreads.com/book/show/368772.The_Caine_Mutiny
,https://www.goodreads.com/book/show/625094.The_Leopard
,https://www.goodreads.com/book/show/201146.Little_Bear
,https://www.goodreads.com/book/show/77661.The_Daughter_of_Time
,https://www.goodreads.com/book/show/12172.Memoirs_of_Hadrian
,https://www.goodreads.com/book/show/107301.A_Town_Like_Alice
,https://www.goodreads.com/book/show/7437.Naked_Lunch
,https://www.goodreads.com/book/show/91244.Beezus_and_Ramona
,https://www.goodreads.com/book/show/61215384-the-return-of-the-king
,https://www.goodreads.com/book/show/2054.The_Long_Goodbye
,https://www.goodreads.com/book/show/61215372-the-two-towers
,https://www.goodreads.com/book/show/140278.4
,https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe
,https://www.goodreads.com/book/show/46654.The_Foundation_Trilogy
,https://www.goodreads.com/book/show/547094.I_Am_Legend_and_Other_Stories
,https://www.goodreads.com/book/show/48132.My_Family_and_Other_Animals
,https://www.goodreads.com/book/show/61672.Bonjour_tristesse
,https://www.goodreads.com/book/show/133394.Our_Man_in_Havana
,https://www.goodreads.com/book/show/412732.The_Dharma_Bums
,https://www.goodreads.com/book/show/406235.Giovanni_s_Room
,https://www.goodreads.com/book/show/253264.Inherit_the_Wind
,https://www.goodreads.com/book/show/61834.A_Night_to_Remember
,https://www.goodreads.com/book/show/17343.Till_We_Have_Faces
,https://www.goodreads.com/book/show/826845.The_Chrysalids
,https://www.goodreads.com/book/show/121622.Mrs_McGinty_s_Dead
,https://www.goodreads.com/book/show/48800.The_Third_Man
,https://www.goodreads.com/book/show/1235257.Please_Don_t_Eat_the_Daisies
,https://www.goodreads.com/book/show/15677.Strangers_on_a_Train
,https://www.goodreads.com/book/show/24830.The_Illustrated_Man
,https://www.goodreads.com/book/show/130580.Old_Yeller
,https://www.goodreads.com/book/show/38787.Pedro_P_ramo
,https://www.goodreads.com/book/show/33609.Katherine
,https://www.goodreads.com/book/show/333867.The_Stars_My_Destination
,https://www.goodreads.com/book/show/563820.A_Child_s_Christmas_in_Wales
,https://www.goodreads.com/book/show/261689.The_Grand_Sophy
,https://www.goodreads.com/book/show/13037.Justine
,https://www.goodreads.com/book/show/22327.The_Miracle_Worker
,https://www.goodreads.com/book/show/52782.Seize_the_Day
,https://www.goodreads.com/book/show/30593.Pnin
The 13 Clocks,https://www.goodreads.com/book/show/143126.The_13_Clocks
"Speak, Memory",https://www.goodreads.com/book/show/30594.Speak_Memory
Lucky Jim,https://www.goodreads.com/book/show/395182.Lucky_Jim
"Goodbye, Columbus",https://www.goodreads.com/book/show/29744.Goodbye_Columbus
"The Cat in the Hat Comes Back (The Cat in the Hat, #2)",https://www.goodreads.com/book/show/667234.The_Cat_in_the_Hat_Comes_Back
"Peyton Place (Peyton Place, #1)",https://www.goodreads.com/book/show/2184836.Peyton_Place
From Here to Eternity,https://www.goodreads.com/book/show/116114.From_Here_to_Eternity
A Death in the Family,https://www.goodreads.com/book/show/113091.A_Death_in_the_Family
The October Country,https://www.goodreads.com/book/show/93251.The_October_Country
I Am Legend,https://www.goodreads.com/book/show/14064.I_Am_Legend
"A Canticle for Leibowitz (St. Leibowitz, #1)",https://www.goodreads.com/book/show/164154.A_Canticle_for_Leibowitz
"Half Magic (Tales of Magic, #1)",https://www.goodreads.com/book/show/225038.Half_Magic
The Doors of Perception / Heaven and Hell,https://www.goodreads.com/book/show/5128.The_Doors_of_Perception_Heaven_and_Hell
